Unnamed: 0,capacity,days,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
0,114.5042768,658.6456481,41931.6,24.14973262,6.878937085,7.313155651,3.296749306,12.41970307,42.2972973,41.0,5.603400825,18,97.01891892,127.5,4.25,21,23.02702703
1,132.1672056,878.4485417,98036.5,22.96071429,10.52404868,10.54277582,5.487897931,19.9413134,33.61538462,34.0,0.963843391,5,96.46346154,98.7,4.249,29,30.17307692
2,132.7472644,1501.565185,210594.7,34.35757121,20.34028691,12.14408882,17.54664026,57.66875842,33.13513514,33.0,0.8749413,5,111.8351351,113.4,4.242,37,37.94594595
3,111.8874119,1530.601771,218673.5,37.74423077,10.6173715,10.68195053,5.235873696,18.85277778,34.0,34.0,1.107823419,6,119.3113636,128.4,4.25,40,40.90909091
4,132.1924505,1537.659722,220962.0,37.54292929,10.34584123,10.51319678,5.237974195,17.89936659,32.63461538,33.0,1.344917014,6,125.1153846,128.1,4.249,40,40.51923077
5,133.7676101,1020.011644,10562.3,23.31203566,10.83739828,10.81488678,5.526185067,20.78455168,44.38333333,45.0,2.168652936,9,126.2916667,127.6,4.218,31,32.3
6,141.2614087,1031.011794,12229.9,23.76621835,10.87582929,10.82643422,5.604647258,21.09612529,42.59677419,43.0,2.260885335,10,124.6645161,125.7,4.22,30,31.90322581
7,141.2889385,1031.011794,12229.9,23.79657643,10.87582929,10.82643422,5.604647258,21.09612529,42.59677419,43.0,2.260885335,10,124.6645161,125.7,4.22,30,31.90322581
8,138.2659743,1031.011794,12229.9,27.65205725,10.87582929,10.82643422,5.604647258,21.09612529,42.59677419,43.0,2.260885335,10,124.6645161,125.7,4.22,30,31.90322581
9,137.7357456,1041.015822,12491.7,22.14386792,10.80792241,10.76863025,5.497286555,20.80037977,43.75409836,44.0,2.03780449,9,124.8754098,126.2,4.22,31,32.39344262
10,142.2386351,1082.012604,18729.3,28.84918276,10.95973634,10.90355245,5.492824182,20.91402118,38.27868852,39.0,1.699866413,7,124.847541,125.9,4.219,34,33.72131148
11,137.4173806,1117.048877,24550.6,29.29944838,10.959953,10.91088362,5.502011953,20.87331306,39.19672131,40.0,1.566238808,7,124.4852459,125.4,4.22,34,34.0
12,138.9653034,1119.013819,25066.5,33.40859107,10.87899976,10.82092025,5.484572707,20.84728913,40.05,40.5,1.575066136,6,125.735,127.4,4.22,38,37.58333333
13,138.7876976,1134.013981,27642.3,30.51817507,10.61610637,10.52905229,5.511293902,20.72189294,41.6,42.0,2.02649122,9,126.6466667,127.7,4.219,35,35.0
14,137.8122095,1140.996979,28742.3,35.0632223,10.99197736,10.93257908,5.480359016,20.95536131,41.9,42.0,2.071231518,8,126.715,127.7,4.22,39,39.0
15,145.4438889,1143.999375,29512.0,34.3777248,10.65204091,10.58227975,5.436772747,20.58291924,42.01666667,42.5,2.020657209,8,126.4633333,127.6,4.22,39,38.55
16,140.5561378,1145.999086,30170.1,31.34823091,10.520515,10.44707596,5.327987533,20.27613724,42.26666667,42.0,3.270406023,17,126.38,128.0,4.22,36,36.0
17,138.19173,1147.01015,30477.8,32.53289474,10.8685286,10.85522582,5.632459162,20.89474974,44.32786885,44.0,4.088052611,19,126.5655738,128.3,4.22,36,36.0
18,138.0493189,1188.998009,34002.4,33.81109023,10.41161496,10.26164581,5.593788385,20.59027023,43.76666667,44.0,3.363364717,16,126.05,127.7,4.219,38,38.0
19,130.8053412,1370.275914,42519.1,23.8098434,8.707682742,8.676581203,5.467248416,18.66242885,48.875,49.0,5.837647214,26,101.0625,126.6,4.219,20,22.4375
20,134.7474496,1372.279074,43039.7,26.11649485,11.06146781,11.02793268,5.720411715,21.25669001,48.625,48.0,5.655473013,30,125.6546875,130.0,4.22,26,28.0
21,136.5839825,1374.278403,43653.6,27.99080882,10.4300935,10.43135556,5.460651217,20.03914636,47.32786885,47.0,4.95461802,20,125.7409836,127.6,4.219,32,33.45901639
22,136.4280494,1376.275185,44091.9,28.06189555,11.39553325,11.35929874,5.57143471,21.49770665,48.171875,48.0,5.31964134,23,125.8609375,128.4,4.219,31,32.40625
23,130.8353243,1377.275255,44265.4,25.96199525,8.699314227,8.405044043,4.772112196,19.81353694,43.31578947,42.0,3.152041359,16,116.4894737,126.9,4.22,23,25.70175439
24,136.8120915,1378.271979,44559.3,28.75806452,10.98036833,10.90453416,5.531534763,21.11708175,43.1147541,44.0,2.210988657,10,125.9704918,127.2,4.221,32,32.91803279
25,134.6511582,1379.262813,44764.4,28.50833333,10.22642343,10.166689,5.55845182,20.15160743,46.88135593,47.0,4.071749492,19,125.6627119,128.7,4.22,27,28.3220339
26,135.7206705,1382.275289,45694.5,29.13377193,11.04563145,11.03311587,5.532083436,21.07491952,47.0483871,46.0,5.234585418,20,125.6887097,127.3,4.22,31,32.82258065
27,133.9467306,1383.283484,45954.5,28.39753321,10.71432705,10.64014803,5.487132444,20.75679602,42.73333333,43.0,1.824524291,7,126.05,127.3,4.22,32,32.43333333
28,139.5724452,1442.289525,49883.7,28.02555366,10.9935045,10.93374099,5.602422046,21.16890484,42.49180328,43.0,1.843223751,7,126.1459016,127.5,4.22,33,33.0
29,137.0350489,1442.289525,49883.7,30.27164686,10.9935045,10.93374099,5.602422046,21.16890484,42.49180328,43.0,1.843223751,7,126.1459016,127.5,4.22,33,33.0
30,138.1072291,1442.289525,49883.7,30.29319372,10.9935045,10.93374099,5.602422046,21.16890484,42.49180328,43.0,1.843223751,7,126.1459016,127.5,4.22,33,33.0
31,130.4838942,1446.27838,50723.8,27.73522727,10.66482106,10.56787952,5.561529223,20.92891395,41.29508197,41.0,1.961467018,7,125.9688525,127.1,4.22,27,28.78688525
32,133.4935535,1451.332951,51850.6,28.1097561,10.71335099,10.67133556,5.576899493,20.7427683,41.47540984,41.0,1.988545538,8,126.0327869,127.3,4.22,29,30.57377049
33,132.3421431,1457.337593,53134.3,28.46767677,10.75757412,10.70603953,5.472838633,20.67598121,41.56666667,42.0,2.084599615,8,126.0216667,127.5,4.205,32,32.98333333
34,133.4794737,1458.345856,53448.2,29.166,10.62738653,10.59121957,5.491003594,20.53590509,41.78688525,42.0,2.218511937,9,125.2278689,126.4,4.203,33,33.0
