,x,SOC (%)
0,0,27
1,1,29
2,2,31
3,3,33
4,4,36
5,5,39
6,6,41
7,7,43
8,8,46
9,9,49
10,10,50
11,11,52
12,12,54
13,13,57
14,14,59
15,15,62
16,16,65
17,17,67
18,18,70
19,19,72
20,20,75
21,21,77
22,22,78
23,23,80
24,24,82
25,25,83
26,26,85
27,27,85
28,28,86
29,29,87
30,30,89
31,31,90
32,32,91
33,33,91
34,34,92
35,35,93
36,36,94
37,37,95
38,38,96
39,39,96
40,40,97
41,41,97
42,42,97
43,43,98
44,44,35
45,45,38
46,46,40
47,47,43
48,48,46
49,49,48
50,50,51
51,51,53
52,52,55
53,53,58
54,54,60
55,55,63
56,56,65
57,57,68
58,58,71
59,59,74
60,60,76
61,61,77
62,62,79
63,63,81
64,64,82
65,65,84
66,66,85
67,67,85
68,68,86
69,69,87
70,70,88
71,71,89
72,72,90
73,73,91
74,74,92
75,75,93
76,76,94
77,77,95
78,78,96
79,79,96
80,80,97
81,81,97
82,82,98
83,83,36
84,84,39
85,85,41
86,86,44
87,87,47
88,88,49
89,89,52
90,90,54
91,91,56
92,92,59
93,93,61
94,94,64
95,95,66
96,96,69
97,97,72
98,98,74
99,99,76
100,100,78
101,101,80
102,102,81
103,103,83
104,104,84
105,105,85
106,106,86
107,107,87
108,108,87
109,109,88
110,110,89
111,111,90
112,112,91
113,113,92
114,114,93
115,115,95
116,116,95
117,117,96
118,118,96
119,119,96
120,120,42
121,121,45
122,122,48
123,123,50
124,124,53
125,125,55
126,126,57
127,127,60
128,128,62
129,129,65
130,130,67
131,131,70
132,132,72
133,133,75
134,134,77
135,135,78
136,136,80
137,137,81
138,138,82
139,139,84
140,140,85
141,141,86
142,142,87
143,143,87
144,144,88
145,145,89
146,146,90
147,147,91
148,148,92
149,149,93
150,150,95
151,151,95
152,152,96
153,153,96
154,154,97
155,155,32
156,156,35
157,157,38
158,158,40
159,159,43
160,160,46
161,161,48
162,162,51
163,163,53
164,164,55
165,165,58
166,166,61
167,167,63
168,168,66
169,169,69
170,170,71
171,171,74
172,172,76
173,173,78
174,174,79
175,175,81
176,176,82
177,177,84
178,178,85
179,179,86
180,180,87
181,181,87
182,182,88
183,183,89
184,184,90
185,185,91
186,186,93
187,187,94
188,188,95
189,189,96
190,190,96
191,191,96
192,192,97
193,193,97
194,194,98
195,195,98
196,196,98
197,197,73
198,198,75
199,199,77
200,200,80
201,201,81
202,202,83
203,203,84
204,204,85
205,205,86
206,206,87
207,207,88
208,208,89
209,209,90
210,210,90
211,211,91
212,212,92
213,213,93
214,214,94
215,215,95
216,216,96
217,217,96
218,218,97
219,219,97
220,220,98
221,221,98
222,222,98
223,223,99
224,224,29
225,225,31
226,226,33
227,227,36
228,228,38
229,229,41
230,230,43
231,231,46
232,232,48
233,233,51
234,234,53
235,235,56
236,236,58
237,237,61
238,238,64
239,239,66
240,240,69
241,241,72
242,242,74
243,243,76
244,244,78
245,245,79
246,246,81
247,247,82
248,248,84
249,249,85
250,250,85
251,251,86
252,252,87
253,253,88
254,254,89
255,255,90
256,256,91
257,257,92
258,258,93
259,259,68
260,260,70
261,261,72
262,262,75
263,263,78
264,264,79
265,265,81
266,266,83
267,267,84
268,268,85
269,269,86
270,270,87
271,271,88
272,272,89
273,273,90
274,274,90
275,275,91
276,276,92
277,277,93
278,278,94
279,279,95
280,280,96
281,281,96
282,282,97
283,283,97
284,284,97
285,285,98
286,286,98
287,287,98
288,288,30
289,289,33
290,290,35
291,291,38
292,292,41
293,293,43
294,294,46
295,295,48
296,296,51
297,297,53
298,298,56
299,299,58
300,300,61
301,301,64
302,302,66
303,303,69
304,304,71
305,305,74
306,306,76
307,307,78
308,308,80
309,309,81
310,310,83
311,311,84
312,312,85
313,313,86
314,314,87
315,315,88
316,316,88
317,317,89
318,318,90
319,319,91
320,320,92
321,321,93
322,322,94
323,323,95
324,324,96
325,325,96
326,326,97
327,327,97
328,328,97
329,329,98
330,330,98
331,331,98
332,332,98
333,333,99
334,334,21
335,335,23
336,336,26
337,337,30
338,338,33
339,339,35
340,340,38
341,341,41
342,342,43
343,343,46
344,344,48
345,345,51
346,346,54
347,347,56
348,348,59
349,349,62
350,350,64
351,351,67
352,352,70
353,353,72
354,354,75
355,355,77
356,356,78
357,357,80
358,358,81
359,359,83
360,360,84
361,361,85
362,362,86
363,363,87
364,364,88
365,365,89
366,366,90
367,367,91
368,368,91
369,369,92
370,370,93
371,371,95
372,372,95
373,373,96
374,374,96
375,375,97
376,376,97
377,377,97
378,378,73
379,379,75
380,380,76
381,381,78
382,382,80
383,383,82
384,384,83
385,385,85
386,386,86
