,SOC (%),OCV corected SOC (%)
0,45.0,48.80000000000004
1,60.0,61.69811320754718
2,20.0,26.5909090909091
3,34.0,38.75
4,40.0,44.736842105263186
5,54.0,56.46551724137931
6,56.0,58.44827586206898
7,38.0,42.63157894736847
8,49.0,51.80555555555554
9,52.0,55.25862068965518
10,56.0,58.96551724137931
11,44.0,48.000000000000036
12,24.0,45.0
13,52.0,55.86206896551727
14,39.0,44.21052631578945
15,42.0,45.800000000000004
16,22.0,30.99999999999991
17,21.0,27.9545454545454
18,59.0,61.22641509433964
19,56.0,59.137931034482776
20,38.0,41.578947368421105
21,49.0,52.77777777777778
22,56.0,58.27586206896551
23,17.0,23.666666666666657
24,52.0,55.86206896551727
25,56.0,58.5344827586207
26,59.0,61.41509433962264
27,57.0,59.48275862068967
28,58.0,60.28301886792454
29,36.0,41.578947368421105
30,46.0,50.833333333333364
31,56.0,58.10344827586208
32,42.0,47.79999999999997
33,39.0,45.19999999999998
34,37.0,43.15789473684209
35,48.0,51.80555555555554
36,53.0,55.689655172413794
37,55.0,58.01724137931036
38,35.0,41.05263157894736
39,28.0,35.312499999999964
40,60.0,62.26415094339621
41,37.0,41.05263157894736
42,51.0,54.027777777777764
43,45.0,49.600000000000044
44,48.0,51.249999999999986
45,60.0,61.22641509433964
46,53.0,55.086206896551715
47,51.0,53.61111111111114
48,53.0,54.86111111111113
49,58.0,58.620689655172406
50,50.0,52.91666666666665
51,58.0,59.05172413793106
52,56.0,57.672413793103466
53,55.0,56.637931034482776
54,46.0,49.600000000000044
55,45.0,47.40000000000001
56,57.0,58.27586206896551
57,54.0,56.206896551724164
58,49.0,51.666666666666664
59,56.0,57.24137931034482
60,56.0,56.810344827586206
61,35.0,38.437500000000036
62,57.0,58.10344827586208
63,57.0,57.32758620689657
64,48.0,50.416666666666686
65,41.0,42.36842105263153
66,41.0,42.105263157894726
67,40.0,41.578947368421105
68,43.0,45.800000000000004
69,52.0,53.61111111111114
70,49.0,50.972222222222236
71,60.0,59.913793103448285
72,54.0,55.086206896551715
73,53.0,54.86111111111113
74,52.0,54.44444444444444
75,54.0,55.86206896551727
76,28.0,31.333333333333364
77,58.0,57.32758620689657
78,52.0,50.13888888888887
