,Voltage (V),Sample,dQ/dV
0,3.6595,20,0.09484127
1,3.6605,20,0.09484127
2,3.6615,20,0.09484127
3,3.6625,20,0.113809524
4,3.6635,20,0.132777778
5,3.6645,20,0.132777778
6,3.6655,20,0.132777778
7,3.6665,20,0.132777778
8,3.6675,20,0.132777778
9,3.6685,20,0.132777778
10,3.6695,20,0.132777778
11,3.6705,20,0.132777778
12,3.6715,20,0.132777778
13,3.6725,20,0.121712963
14,3.6735,20,0.110648148
15,3.6745,20,0.110648148
16,3.6755,20,0.165972222
17,3.6765,20,0.221296296
18,3.6775,20,0.132777778
19,3.6785,20,0.132777778
20,3.6795,20,0.149375
21,3.6805,20,0.165972222
22,3.6815,20,0.193680556
23,3.6825,20,0.221388889
24,3.6835,20,0.166111111
25,3.6845,20,0.166111111
26,3.6855,20,0.332222222
27,3.6865,20,0.166111111
28,3.6875,20,0.166111111
29,3.6885,20,0.332222222
30,3.6895,20,0.221481481
31,3.6905,20,0.193796296
32,3.6915,20,0.166111111
33,3.6925,20,0.249166667
34,3.6935,20,0.249166667
35,3.6945,20,0.166111111
36,3.6955,20,0.249236111
37,3.6965,20,0.332361111
38,3.6975,20,0.498541667
39,3.6985,20,0.221666667
40,3.6995,20,0.221666667
41,3.7005,20,0.221666667
42,3.7015,20,0.498680556
43,3.7025,20,0.332361111
44,3.7035,20,0.332430556
45,3.7045,20,0.49875
46,3.7055,20,0.3325
47,3.7065,20,0.221666667
48,3.7075,20,0.609583333
49,3.7085,20,0.49875
50,3.7095,20,0.443333333
51,3.7105,20,0.221666667
52,3.7115,20,0.221574074
53,3.7125,20,0.553981481
54,3.7135,20,0.221666667
55,3.7145,20,0.665
56,3.7155,20,0.3325
57,3.7165,20,0.49875
58,3.7175,20,0.3325
59,3.7185,20,0.498888889
60,3.7195,20,0.665138889
61,3.7205,20,0.221759259
62,3.7215,20,0.277199074
63,3.7225,20,0.498819444
64,3.7235,20,0.443518519
65,3.7245,20,0.221759259
66,3.7255,20,0.665138889
67,3.7265,20,0.332638889
68,3.7275,20,0.499027778
69,3.7285,20,0.499027778
70,3.7295,20,0.3325
71,3.7305,20,0.499027778
72,3.7315,20,0.332777778
73,3.7325,20,0.332777778
74,3.7335,20,0.499166667
75,3.7345,20,0.332638889
76,3.7355,20,0.498958333
77,3.7365,20,0.498819444
78,3.7375,20,0.332638889
79,3.7385,20,0.332638889
80,3.7395,20,0.332638889
81,3.7405,20,0.332638889
82,3.7415,20,0.665416667
83,3.7425,20,0.332777778
84,3.7435,20,0.332777778
85,3.7445,20,0.332777778
86,3.7455,20,0.332777778
87,3.7465,20,0.665555556
88,3.7475,20,0.221851852
89,3.7485,20,0.443703704
90,3.7495,20,0.443703704
91,3.7505,20,0.221851852
92,3.7515,20,0.332638889
93,3.7525,20,0.332638889
94,3.7535,20,0.499166667
95,3.7545,20,0.499166667
96,3.7555,20,0.332777778
97,3.7565,20,0.332777778
98,3.7575,20,0.221851852
99,3.7585,20,0.443703704
100,3.7595,20,0.332777778
101,3.7605,20,0.332916667
102,3.7615,20,0.499513889
103,3.7625,20,0.277384259
104,3.7635,20,0.221851852
105,3.7645,20,0.443703704
106,3.7655,20,0.221851852
107,3.7665,20,0.499166667
108,3.7675,20,0.332777778
109,3.7685,20,0.332777778
110,3.7695,20,0.277314815
111,3.7705,20,0.221851852
112,3.7715,20,0.332777778
113,3.7725,20,0.332638889
114,3.7735,20,0.332638889
115,3.7745,20,0.332916667
116,3.7755,20,0.332916667
117,3.7765,20,0.332777778
118,3.7775,20,0.332777778
119,3.7785,20,0.221944444
120,3.7795,20,0.444027778
121,3.7805,20,0.332916667
122,3.7815,20,0.221851852
123,3.7825,20,0.443703704
124,3.7835,20,0.221851852
125,3.7845,20,0.277314815
126,3.7855,20,0.277314815
127,3.7865,20,0.221851852
128,3.7875,20,0.332777778
129,3.7885,20,0.221851852
130,3.7895,20,0.277314815
131,3.7905,20,0.332777778
132,3.7915,20,0.277314815
133,3.7925,20,0.221851852
134,3.7935,20,0.443888889
135,3.7945,20,0.221944444
136,3.7955,20,0.332777778
137,3.7965,20,0.221851852
138,3.7975,20,0.221851852
139,3.7985,20,0.221851852
140,3.7995,20,0.221851852
141,3.8005,20,0.277314815
142,3.8015,20,0.332777778
143,3.8025,20,0.277314815
144,3.8035,20,0.221851852
145,3.8045,20,0.332916667
146,3.8055,20,0.221944444
147,3.8065,20,0.443888889
148,3.8075,20,0.166458333
149,3.8085,20,0.166458333
150,3.8095,20,0.221944444
151,3.8105,20,0.221944444
152,3.8115,20,0.221944444
153,3.8125,20,0.415972222
154,3.8135,20,0.166388889
155,3.8145,20,0.249652778
