,Voltage (V),Current (A)
0,3.75,0.0
1,3.757,-103.4
2,3.761,-103.4
3,3.765,-103.4
4,3.768,-103.4
5,3.771,-103.4
6,3.773,-103.4
7,3.775,-103.4
8,3.777,-103.4
9,3.779,-103.4
10,3.78,-103.3
11,3.783,-103.3
12,3.784,-103.3
13,3.787,-103.3
14,3.788,-103.3
15,3.789,-103.3
16,3.792,-103.3
17,3.793,-103.3
18,3.796,-103.3
19,3.797,-103.3
20,3.799,-103.3
21,3.8,-103.3
22,3.802,-103.3
23,3.805,-103.3
24,3.806,-103.3
25,3.809,-103.3
26,3.81,-103.3
27,3.812,-103.3
28,3.813,-103.3
29,3.816,-103.3
30,3.818,-103.3
31,3.82,-103.3
32,3.822,-103.3
33,3.824,-103.3
34,3.826,-103.3
35,3.829,-103.3
36,3.83,-103.3
37,3.832,-103.3
38,3.835,-103.3
39,3.836,-103.3
40,3.839,-103.3
41,3.841,-103.3
42,3.843,-103.3
43,3.845,-103.3
44,3.847,-103.3
45,3.849,-103.3
46,3.852,-103.3
47,3.855,-103.3
48,3.857,-103.3
49,3.859,-103.3
50,3.861,-103.3
51,3.863,-103.3
52,3.866,-103.3
53,3.868,-103.3
54,3.87,-103.3
55,3.872,-103.3
56,3.875,-103.4
57,3.877,-103.3
58,3.879,-103.3
59,3.881,-103.3
60,3.884,-103.3
61,3.886,-103.4
62,3.888,-103.4
63,3.891,-103.3
64,3.892,-103.3
65,3.894,-103.3
66,3.896,-103.3
67,3.899,-103.3
68,3.902,-103.3
69,3.903,-103.3
70,3.905,-103.4
71,3.908,-103.4
72,3.909,-103.3
73,3.912,-103.4
74,3.914,-103.3
75,3.916,-103.3
76,3.918,-103.4
77,3.921,-103.3
78,3.923,-103.3
79,3.924,-103.4
80,3.926,-103.4
81,3.928,-103.4
82,3.931,-103.4
83,3.932,-103.4
84,3.935,-103.4
85,3.937,-103.4
86,3.938,-103.4
87,3.941,-103.4
88,3.943,-103.4
89,3.946,-103.4
90,3.948,-103.4
91,3.949,-103.4
92,3.952,-103.4
93,3.953,-103.4
94,3.956,-103.4
95,3.958,-103.4
96,3.96,-103.4
97,3.962,-103.4
98,3.964,-103.4
99,3.967,-103.4
100,3.968,-103.4
101,3.97,-103.4
102,3.973,-103.4
103,3.975,-103.4
104,3.977,-103.4
105,3.979,-103.4
106,3.982,-103.4
107,3.984,-103.4
108,3.986,-103.4
109,3.988,-103.4
110,3.99,-103.4
111,3.992,-103.4
112,3.994,-103.4
113,3.997,-103.4
114,3.999,-103.4
115,4.001,-103.4
116,4.002,-103.4
117,4.005,-103.4
118,4.008,-103.4
119,4.01,-103.4
120,4.012,-103.4
121,4.014,-103.4
122,4.016,-103.4
123,4.018,-103.4
124,4.02,-103.4
125,4.023,-103.4
126,4.025,-103.4
127,4.027,-103.4
128,4.029,-103.4
129,4.032,-103.4
130,4.033,-103.4
131,4.036,-103.4
132,4.038,-103.4
133,4.041,-103.4
134,4.043,-103.4
135,4.045,-103.4
136,4.047,-103.4
137,4.049,-103.4
138,4.052,-103.4
139,4.054,-103.5
140,4.057,-103.4
141,4.058,-103.4
142,4.06,-103.4
143,4.062,-103.4
144,4.065,-103.4
145,4.065,-99.9
146,4.067,-99.9
147,4.068,-99.8
148,4.071,-99.8
149,4.074,-99.8
150,4.075,-99.8
151,4.077,-99.7
152,4.08,-99.6
153,4.046,-49.2
154,4.044,-49.3
155,4.043,-49.3
156,4.043,-49.3
157,4.044,-49.3
158,4.043,-49.3
159,4.044,-49.3
160,4.045,-49.3
161,4.045,-49.3
162,4.047,-49.4
163,4.047,-49.4
164,4.049,-49.4
165,4.05,-49.4
166,4.051,-49.4
167,4.052,-49.4
168,4.053,-49.5
169,4.054,-49.4
170,4.055,-49.4
171,4.056,-49.4
172,4.057,-49.5
173,4.058,-49.4
174,4.059,-49.1
175,4.06,-49.2
176,4.061,-49.2
177,4.062,-49.2
178,4.064,-49.2
179,4.065,-49.2
180,4.065,-49.2
181,4.067,-49.2
182,4.068,-49.2
183,4.069,-49.2
184,4.07,-49.2
185,4.071,-49.2
186,4.073,-49.2
187,4.074,-49.2
188,4.075,-49.2
189,4.076,-49.2
190,4.077,-49.2
191,4.078,-49.2
192,4.079,-49.2
193,4.08,-49.2
194,4.082,-49.2
195,4.083,-49.2
196,4.084,-49.2
197,4.085,-49.2
198,4.086,-49.2
199,4.087,-49.2
200,4.088,-49.2
201,4.089,-49.2
202,4.091,-49.2
203,4.092,-49.2
204,4.092,-49.2
205,4.094,-49.2
206,4.095,-49.2
207,4.096,-49.2
208,4.097,-49.2
209,4.099,-49.2
210,4.099,-49.2
211,4.101,-49.2
212,4.102,-49.2
213,4.103,-49.2
214,4.104,-49.2
215,4.106,-49.2
216,4.106,-49.2
217,4.108,-49.2
218,4.109,-49.2
219,4.11,-49.2
220,4.111,-49.2
221,4.112,-49.2
222,4.114,-49.2
223,4.115,-49.2
224,4.115,-49.2
225,4.117,-49.2
226,4.118,-49.2
227,4.119,-49.2
228,4.12,-49.2
229,4.122,-49.2
230,4.123,-49.2
231,4.124,-49.2
232,4.125,-49.2
233,4.127,-49.2
234,4.128,-49.2
235,4.128,-49.2
236,4.13,-49.2
237,4.131,-49.2
238,4.132,-49.2
239,4.133,-49.2
240,4.134,-49.2
241,4.135,-49.2
242,4.137,-49.2
243,4.137,-49.2
244,4.139,-49.2
245,4.14,-49.2
246,4.142,-49.2
247,4.143,-49.2
248,4.144,-49.2
249,4.145,-49.2
250,4.146,-49.2
251,4.147,-49.2
252,4.148,-49.2
253,4.15,-49.2
254,4.151,-49.2
255,4.152,-49.2
256,4.153,-49.2
257,4.154,-49.1
258,4.156,-49.2
259,4.157,-49.2
260,4.158,-49.1
261,4.159,-49.1
262,4.16,-49.2
263,4.162,-49.1
264,4.163,-49.2
265,4.164,-49.2
266,4.165,-49.2
267,4.167,-49.2
