,Max cell voltage (V),Min cell voltage (V),Cell voltage range (V)
0,3.75,3.714,0.03600000000000003
1,3.757,3.72,0.03699999999999992
2,3.761,3.725,0.03600000000000003
3,3.765,3.729,0.03600000000000003
4,3.768,3.731,0.03699999999999992
5,3.771,3.733,0.03799999999999981
6,3.773,3.736,0.03699999999999992
7,3.775,3.737,0.03799999999999981
8,3.777,3.739,0.038000000000000256
9,3.779,3.74,0.0389999999999997
10,3.78,3.742,0.03799999999999981
11,3.783,3.744,0.0389999999999997
12,3.784,3.745,0.0389999999999997
13,3.787,3.747,0.040000000000000036
14,3.788,3.749,0.0389999999999997
15,3.789,3.75,0.039000000000000146
16,3.792,3.752,0.040000000000000036
17,3.793,3.753,0.040000000000000036
18,3.796,3.755,0.040999999999999925
19,3.797,3.756,0.04100000000000037
20,3.799,3.758,0.040999999999999925
21,3.8,3.759,0.040999999999999925
22,3.802,3.761,0.040999999999999925
23,3.805,3.763,0.04200000000000026
24,3.806,3.764,0.04200000000000026
25,3.809,3.766,0.04300000000000015
26,3.81,3.767,0.04300000000000015
27,3.812,3.769,0.042999999999999705
28,3.813,3.771,0.04200000000000026
29,3.816,3.772,0.04400000000000004
30,3.818,3.774,0.04400000000000004
31,3.82,3.776,0.04400000000000004
32,3.822,3.778,0.04400000000000004
33,3.824,3.779,0.04499999999999993
34,3.826,3.781,0.04499999999999993
35,3.829,3.783,0.04600000000000026
36,3.83,3.785,0.04499999999999993
37,3.832,3.787,0.04499999999999993
38,3.835,3.788,0.04700000000000015
39,3.836,3.79,0.04599999999999982
40,3.839,3.792,0.04700000000000015
41,3.841,3.794,0.04700000000000015
42,3.843,3.796,0.04700000000000015
43,3.845,3.797,0.04800000000000004
44,3.847,3.8,0.04700000000000015
45,3.849,3.802,0.04700000000000015
46,3.852,3.804,0.04800000000000004
47,3.855,3.806,0.04899999999999993
48,3.857,3.807,0.050000000000000266
49,3.859,3.809,0.04999999999999982
50,3.861,3.812,0.04900000000000038
51,3.863,3.814,0.04899999999999993
52,3.866,3.816,0.050000000000000266
53,3.868,3.818,0.04999999999999982
54,3.87,3.82,0.050000000000000266
55,3.872,3.822,0.04999999999999982
56,3.875,3.824,0.051000000000000156
57,3.877,3.826,0.05099999999999971
58,3.879,3.828,0.051000000000000156
59,3.881,3.83,0.05099999999999971
60,3.884,3.833,0.05099999999999971
61,3.886,3.835,0.051000000000000156
62,3.888,3.837,0.05099999999999971
63,3.891,3.839,0.052000000000000046
64,3.892,3.841,0.05099999999999971
65,3.894,3.843,0.051000000000000156
66,3.896,3.846,0.04999999999999982
67,3.899,3.848,0.051000000000000156
68,3.902,3.85,0.052000000000000046
69,3.903,3.852,0.051000000000000156
70,3.905,3.854,0.05099999999999971
71,3.908,3.856,0.052000000000000046
72,3.909,3.858,0.05099999999999971
73,3.912,3.861,0.05099999999999971
74,3.914,3.862,0.052000000000000046
75,3.916,3.864,0.052000000000000046
76,3.918,3.866,0.052000000000000046
77,3.921,3.869,0.0519999999999996
78,3.923,3.871,0.052000000000000046
79,3.924,3.873,0.05099999999999971
80,3.926,3.875,0.051000000000000156
81,3.928,3.877,0.051000000000000156
