,ys,ys_est_RNN,ys_est_LSTM,ys_est_FNN
0,139.0452965,138.81194,135.20522,136.6804
1,137.1545868,135.61865,135.88448,134.7506
2,135.626672,134.83276,138.4338,137.42522
3,142.7405973,142.02737,138.69534,136.7475
4,125.0081192,126.11465,133.47163,134.91127
5,135.3363856,124.32829,133.79346,128.26129
6,133.9559831,133.94652,127.43258,129.99417
7,136.4280494,136.775,134.48257,136.34439
8,132.8334523,130.04295,132.5028,130.81306
9,133.7005602,132.35167,131.96944,137.6607
10,134.0646278,136.61127,133.99501,132.7742
11,145.5208186,134.04732,136.58998,141.56732
12,139.5870419,139.43477,140.35654,137.5583
13,135.6070588,133.27936,135.57735,130.93741
14,131.9988112,131.98813,133.05014,134.05217
15,132.8694289,135.47606,133.15553,131.26047
16,141.9699858,140.21072,133.42883,135.22249
17,134.0055942,133.82343,134.57104,136.00497
18,139.0193473,139.40999,136.57585,136.83606
19,135.3746502,130.85655,131.25525,130.1698
20,138.3823317,134.2032,133.60489,133.10419
21,154.6319412,148.93849,137.99582,135.66647
22,141.412335,138.57762,138.39606,139.16129
23,138.1010827,135.98027,133.15631,134.08078
24,133.7753691,132.16527,135.59126,134.07333
25,145.8623726,147.2521,142.56078,139.44456
26,134.8923338,133.88469,132.83943,130.54054
27,139.6247847,135.47433,135.40157,133.84668
28,138.5755809,139.17813,135.55147,134.1863
29,130.2099546,137.75179,139.71033,140.58139
30,131.4109272,133.49782,133.38956,134.98526
31,138.1128739,137.50842,137.9743,137.5379
32,139.2973421,136.10841,140.41327,138.60204
33,129.706691,131.45966,134.65256,136.32364
34,141.6015992,133.87209,132.89908,133.93861
35,139.1842203,141.4322,137.75418,139.16522
36,132.0510817,131.65547,134.55872,136.97926
37,134.8875401,131.01938,130.33786,131.80908
38,134.572103,134.11615,134.82109,133.39795
39,143.2333007,142.59633,125.91701,127.955475
40,125.7858339,127.392715,131.99759,133.09914
41,137.1416471,133.85786,134.3648,135.78806
42,122.9803366,132.99585,131.4531,135.30449
43,141.0293731,143.9945,140.64174,138.54378
44,159.5593839,140.37204,139.08916,138.20486
45,128.2252486,127.450325,133.3329,135.81601
46,132.1672056,132.68657,128.71443,126.976036
47,125.9998116,123.90325,132.23174,128.75891
48,143.5771177,141.37569,139.33943,139.33363
49,127.1707201,131.51204,135.99374,138.58084
50,124.5539823,124.792915,135.21172,133.75647
51,147.0843577,145.32387,137.26431,138.53625
52,122.2123699,130.95958,130.06012,133.5659
53,128.1179035,133.3994,137.30107,136.91774
54,147.7585164,143.1716,140.07796,139.3406
55,129.8213198,131.92242,132.68558,131.93445
56,147.105454,141.6296,138.33725,138.02719
57,139.8990801,141.0042,136.51094,138.53114
58,138.7993827,134.24838,138.60606,139.82053
59,133.9545074,132.80649,139.76244,140.29433
60,131.0488506,133.4004,133.52328,134.14226
61,126.7633628,126.497856,135.29886,136.96434
62,145.0546746,142.72934,137.83423,137.42722
63,128.7794399,137.97763,140.15468,140.01166
64,125.5962824,138.78888,140.45435,137.3633
65,140.6373952,137.2023,137.42055,139.21466
66,146.0211818,141.56198,139.50658,137.41737
67,140.8699773,142.07712,137.50084,139.47087
68,138.3592901,147.557,140.85939,136.70703
69,133.0962391,132.6548,131.93018,134.47272
70,130.5819075,133.42683,132.41188,136.38982
71,131.3955985,136.76929,134.2944,133.43983
72,132.7100994,129.9127,138.91566,136.96057
73,130.9404545,132.50761,136.76062,135.32
74,132.728982,131.67851,132.82219,135.25737
75,138.9285475,139.49806,139.24123,139.79884
76,136.3873568,132.43822,132.51886,135.34296
77,147.6903648,129.36885,134.86531,135.91362
78,140.9656346,142.51427,137.66258,140.2199
79,129.8483994,131.27083,140.67593,137.93939
80,125.418166,139.72276,139.10342,138.85161
81,135.8837451,131.85265,134.34831,135.47903
82,130.1274233,121.70522,133.22044,132.88438
83,136.9937395,133.06989,137.13255,135.06383
84,128.022597,124.47574,134.44473,131.98253
85,139.610187,137.77057,138.25189,139.40495
86,133.448743,133.00633,131.49377,132.17894
87,130.0885632,136.36198,130.527,135.5592
88,131.6930452,129.12086,137.3626,133.31996
89,133.3352941,138.00795,133.37096,132.9441
90,138.7734647,137.47426,134.01753,136.99118
91,132.3379978,137.14096,139.23149,139.52779
92,132.6574074,141.21002,140.03793,137.47484
93,133.7688372,134.38377,133.67354,135.08957
94,122.6319854,125.09612,128.86163,133.63565
95,124.5635003,133.57974,137.4417,138.71628
96,148.0151523,146.22353,140.96832,137.47275
97,140.2567083,139.08495,132.43657,128.39067
98,139.991573,140.40468,137.07594,136.16142
99,142.5502668,134.49133,133.03487,134.31699
100,123.2144559,128.83385,135.08734,139.46078
101,132.3626622,132.08035,133.10777,134.76031
102,138.0504184,137.28993,133.98796,131.87288
103,145.3336009,138.8808,137.0828,141.52028
104,133.1945716,131.11818,133.31157,133.06447
105,130.3030398,132.36917,132.54164,131.61893
106,142.5446944,140.4376,138.53973,136.10197
107,140.5105608,141.72119,139.76286,140.95558
108,140.2551603,131.12341,134.34766,133.24184
109,136.2285863,135.8151,133.40767,132.51768
110,133.987038,133.6686,132.84766,134.58527
111,111.5082779,113.17627,138.855,135.3059
112,141.5414875,140.52809,136.73564,134.76059
